0,32.22,24.46,24.87,12.70,
1,32.22,24.46,24.87,12.69,
2,32.19,24.45,24.81,12.69,
3,32.19,24.45,24.81,12.69,
4,32.19,24.45,24.81,12.44,
5,32.19,24.46,24.81,12.68,
6,32.20,24.48,24.81,12.71,
7,32.20,24.47,24.81,12.71,
8,32.21,24.46,24.81,12.71,
9,32.21,24.48,24.75,12.68,
10,32.21,24.46,24.75,12.68,
11,32.22,24.47,24.75,12.71,
12,32.22,24.47,24.75,12.71,
13,32.23,24.47,24.75,12.70,
14,32.23,24.48,24.75,12.71,
15,32.24,24.47,24.75,12.70,
16,32.23,24.51,24.75,12.72,
17,32.22,24.48,24.75,12.71,
18,32.21,24.49,24.69,12.71,
19,32.19,24.49,24.69,12.71,
20,32.17,24.50,24.69,12.71,
21,32.17,24.50,24.69,12.72,
22,32.14,24.50,24.69,12.72,
23,32.13,24.48,24.69,12.72,
24,32.12,24.49,24.69,12.73,
25,32.11,24.51,24.69,12.73,
26,32.09,24.50,24.69,12.73,
27,32.09,24.50,24.62,12.73,
28,32.09,24.49,24.69,12.73,
29,32.09,24.51,24.62,12.71,
30,32.09,24.50,24.62,12.69,
31,32.11,24.53,24.62,12.42,
32,32.13,24.50,24.62,12.49,
33,32.15,24.53,24.62,12.69,
34,32.19,24.51,24.62,12.71,
35,32.22,24.55,24.62,12.73,
36,32.28,24.50,24.62,12.71,
37,32.33,24.51,24.62,12.71,
38,32.38,24.53,24.56,12.72,
39,32.44,24.53,24.62,12.72,
40,32.49,24.51,24.56,12.72,
41,32.54,24.53,24.56,12.71,
42,32.58,24.53,24.56,12.71,
43,32.63,24.50,24.56,12.72,
44,32.67,24.53,24.56,12.70,
45,32.70,24.51,24.56,12.69,
46,32.73,24.50,24.56,12.70,
47,32.76,24.53,24.56,12.71,
48,32.76,24.53,24.56,12.71,
